filename,filepath,class
0_left.jpg,E:\Main project\Batch 15\dataset\cataract\0_left.jpg,cataract
103_left.jpg,E:\Main project\Batch 15\dataset\cataract\103_left.jpg,cataract
1062_right.jpg,E:\Main project\Batch 15\dataset\cataract\1062_right.jpg,cataract
1083_left.jpg,E:\Main project\Batch 15\dataset\cataract\1083_left.jpg,cataract
1084_right.jpg,E:\Main project\Batch 15\dataset\cataract\1084_right.jpg,cataract
1102_left.jpg,E:\Main project\Batch 15\dataset\cataract\1102_left.jpg,cataract
1102_right.jpg,E:\Main project\Batch 15\dataset\cataract\1102_right.jpg,cataract
1115_left.jpg,E:\Main project\Batch 15\dataset\cataract\1115_left.jpg,cataract
1126_right.jpg,E:\Main project\Batch 15\dataset\cataract\1126_right.jpg,cataract
112_right.jpg,E:\Main project\Batch 15\dataset\cataract\112_right.jpg,cataract
1144_left.jpg,E:\Main project\Batch 15\dataset\cataract\1144_left.jpg,cataract
1144_right.jpg,E:\Main project\Batch 15\dataset\cataract\1144_right.jpg,cataract
1164_left.jpg,E:\Main project\Batch 15\dataset\cataract\1164_left.jpg,cataract
1167_right.jpg,E:\Main project\Batch 15\dataset\cataract\1167_right.jpg,cataract
119_left.jpg,E:\Main project\Batch 15\dataset\cataract\119_left.jpg,cataract
1285_left.jpg,E:\Main project\Batch 15\dataset\cataract\1285_left.jpg,cataract
1415_left.jpg,E:\Main project\Batch 15\dataset\cataract\1415_left.jpg,cataract
1415_right.jpg,E:\Main project\Batch 15\dataset\cataract\1415_right.jpg,cataract
1435_left.jpg,E:\Main project\Batch 15\dataset\cataract\1435_left.jpg,cataract
1444_left.jpg,E:\Main project\Batch 15\dataset\cataract\1444_left.jpg,cataract
1452_left.jpg,E:\Main project\Batch 15\dataset\cataract\1452_left.jpg,cataract
1454_right.jpg,E:\Main project\Batch 15\dataset\cataract\1454_right.jpg,cataract
1456_left.jpg,E:\Main project\Batch 15\dataset\cataract\1456_left.jpg,cataract
1460_right.jpg,E:\Main project\Batch 15\dataset\cataract\1460_right.jpg,cataract
1468_left.jpg,E:\Main project\Batch 15\dataset\cataract\1468_left.jpg,cataract
1483_right.jpg,E:\Main project\Batch 15\dataset\cataract\1483_right.jpg,cataract
1484_left.jpg,E:\Main project\Batch 15\dataset\cataract\1484_left.jpg,cataract
1484_right.jpg,E:\Main project\Batch 15\dataset\cataract\1484_right.jpg,cataract
1490_right.jpg,E:\Main project\Batch 15\dataset\cataract\1490_right.jpg,cataract
188_right.jpg,E:\Main project\Batch 15\dataset\cataract\188_right.jpg,cataract
1968_left.jpg,E:\Main project\Batch 15\dataset\cataract\1968_left.jpg,cataract
1987_left.jpg,E:\Main project\Batch 15\dataset\cataract\1987_left.jpg,cataract
1994_left.jpg,E:\Main project\Batch 15\dataset\cataract\1994_left.jpg,cataract
2052_left.jpg,E:\Main project\Batch 15\dataset\cataract\2052_left.jpg,cataract
2052_right.jpg,E:\Main project\Batch 15\dataset\cataract\2052_right.jpg,cataract
2074_right.jpg,E:\Main project\Batch 15\dataset\cataract\2074_right.jpg,cataract
2095_right.jpg,E:\Main project\Batch 15\dataset\cataract\2095_right.jpg,cataract
2096_right.jpg,E:\Main project\Batch 15\dataset\cataract\2096_right.jpg,cataract
2097_right.jpg,E:\Main project\Batch 15\dataset\cataract\2097_right.jpg,cataract
2098_left.jpg,E:\Main project\Batch 15\dataset\cataract\2098_left.jpg,cataract
2098_right.jpg,E:\Main project\Batch 15\dataset\cataract\2098_right.jpg,cataract
2099_left.jpg,E:\Main project\Batch 15\dataset\cataract\2099_left.jpg,cataract
2100_right.jpg,E:\Main project\Batch 15\dataset\cataract\2100_right.jpg,cataract
2101_left.jpg,E:\Main project\Batch 15\dataset\cataract\2101_left.jpg,cataract
2101_right.jpg,E:\Main project\Batch 15\dataset\cataract\2101_right.jpg,cataract
2103_left.jpg,E:\Main project\Batch 15\dataset\cataract\2103_left.jpg,cataract
